strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Russia/MOW-PMVL-DZ-19526940928/2021	EPI_ISL_15884433		N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	Vladimir A. Gushchin et al
hCoV-19/Russia/SMO-CRIE-L219H0097u/2021	EPI_ISL_6888231		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al
hCoV-19/France/PDL-IPP29505/2021	EPI_ISL_5604415		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Russia/MOW-CRIE-L219V0045u_6637/2021	EPI_ISL_6901256		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al
hCoV-19/Colombia/DC-UGRA-VG-10350/2021	EPI_ISL_7839620		IDIME	Molecular Genetics and Antimicrobial Resistance - UGRA, Universidad El Bosque	Jinnethe Reyes et al
hCoV-19/Ukraine/11-66620/2021	EPI_ISL_7967978		SI «Public Health Center of MHU»	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
hCoV-19/Zhejiang/ZPCDCP-35/2021	EPI_ISL_17261537		Zhejiang Provincial Center for Disease Control and Prevention	Zhejiang Provincial Center for Disease Control and Prevention	Yi Sun et al
hCoV-19/Russia/MOW-CSP-LQ-5553_S54/2021	EPI_ISL_18013509		"Chief Federal State Budgetary Healthcare Institution ""Centre of Hygiene and Epidemiology"" of the Federal Medical Biological Agency, Central laboratory of microbiological and clinical diagnostic tests"	"Federal State Budgetary Institution ""Centre for Strategic Planning and Management of Biomedical Health Risks"" of the Federal Medical Biological Agency, Laboratory for advanced molecular diagnostics of human diseases"	Mikhaylov et al
hCoV-19/Chad/TCH-29/2021	EPI_ISL_9274866		Ministère de Santé Publique et de la Solidarité Nationale	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Poland/PL_P3628/2021	EPI_ISL_3459858		Diagnostyka. Laboratoria Medyczne.	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. genXone SA, Research & Development Laboratory	Mazur-Panasiuk et al
hCoV-19/Beijing/KLHDCM-0000002-Delta-1/2021	EPI_ISL_16138138		Key Laboratory of Human Diseases Comparative Medicine, Institute of Laboratory Animal Science	Key Laboratory of Human Diseases Comparative Medicine, Institute of Laboratory Animal Science	Qin et al
hCoV-19/Russia/MOW-CSP-LQ-6591_S157/2021	EPI_ISL_18013885		"Chief Federal State Budgetary Healthcare Institution ""Centre of Hygiene and Epidemiology"" of the Federal Medical Biological Agency, Central laboratory of microbiological and clinical diagnostic tests"	"Federal State Budgetary Institution ""Centre for Strategic Planning and Management of Biomedical Health Risks"" of the Federal Medical Biological Agency, Laboratory for advanced molecular diagnostics of human diseases"	Mikhaylov et al
hCoV-19/Hunan/CS-LSI002/2021	EPI_ISL_16138066		Life Sciences Institute, Sansure	Life Sciences Institute, Sansure	He et al
hCoV-19/Anhui/WHCDC-001/2021	EPI_ISL_12901913		Wuhu Center for Disease Control and Prevention	Wuhu Center for Disease Control and Prevention	Gongfei Wang et al
hCoV-19/Heilongjiang/IVDC-HH-360/2021	EPI_ISL_10925268		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Chang Shu et al
hCoV-19/Heilongjiang/IVDC-HH-464/2021	EPI_ISL_10925372		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Xinfa Pei et al
hCoV-19/Heilongjiang/IVDC-HH-369/2021	EPI_ISL_10925277		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Chang Shu et al
hCoV-19/Heilongjiang/IVDC-HH-477/2021	EPI_ISL_10925385		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Xiaohua Zheng et al
hCoV-19/Heilongjiang/IVDC-HH-415/2021	EPI_ISL_10925323		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Qi Liang et al
hCoV-19/Heilongjiang/IVDC-HH-495/2021	EPI_ISL_10925403		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Qi Liang et al
hCoV-19/Heilongjiang/IVDC-HH-351/2021	EPI_ISL_10925259		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Wei Sun et al
hCoV-19/Heilongjiang/IVDC-HH-352/2021	EPI_ISL_10925260		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Wei Sun et al
hCoV-19/Heilongjiang/IVDC-HH-433/2021	EPI_ISL_10925341		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Yan Leng et al
hCoV-19/Heilongjiang/IVDC-HH-414/2021	EPI_ISL_10925322		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Qi Liang et al
hCoV-19/Russia/MOW-PMVL-DZ-29510550476/2021	EPI_ISL_15870199		N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	Vladimir A. Gushchin et al
hCoV-19/Belarus/VI-RRPCEM-VIS_10011/2021	EPI_ISL_11063109		Laboratory for HIV and opportunistic infections diagnosis The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Laboratory for HIV and opportunistic infections diagnosis The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	Elena Gasich et al
hCoV-19/Fujian/2021BD-VIR-SPE-1270/2021	EPI_ISL_15756985		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Liaoning/IVDC-DL-25/2021	EPI_ISL_8540918		Dalian Municipal Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Haibo Sun et al
hCoV-19/Liaoning/IVDC-DL-206/2021	EPI_ISL_8896698		Dalian Municipal Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Xingying Lang et al
hCoV-19/Liaoning/IVDC-DL-91/2021	EPI_ISL_8653784		Dalian Municipal Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Haibo Sun et al
hCoV-19/Liaoning/IVDC-DL-106/2021	EPI_ISL_8749709		Dalian Municipal Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Haibo Sun et al
hCoV-19/Liaoning/IVDC-DL-93/2021	EPI_ISL_8749697		Dalian Municipal Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Haibo Sun et al
hCoV-19/Russia/MOW-CSP-LQ-14298_S7/2021	EPI_ISL_18028294		"Chief Federal State Budgetary Healthcare Institution ""Centre of Hygiene and Epidemiology"" of the Federal Medical Biological Agency, Central laboratory of microbiological and clinical diagnostic tests"	"Federal State Budgetary Institution ""Centre for Strategic Planning and Management of Biomedical Health Risks"" of the Federal Medical Biological Agency, Laboratory for advanced molecular diagnostics of human diseases"	Mikhaylov et al
hCoV-19/Russia/MAG-CRIE-L219B0044u_4671/2021	EPI_ISL_11359680		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology	Samoilov A.E. et al
hCoV-19/Poland/WSSEGorzow-21S2391/2021	EPI_ISL_8294592		NZOZ MEDITEST Diagnostyka Medyczna Jacek Podolski	Wojewodzka Stacja Sanitarno-Epidemiologiczna w Gorzowie Wielkopolskim	Elzbieta Justynska et al
hCoV-19/Russia/MOW-PMVL-DZ-38976621882/2022	EPI_ISL_15872288		N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	Vladimir A. Gushchin et al
hCoV-19/Heilongjiang/IVDC-HEB-533/2021	EPI_ISL_10925441		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Quanbo Hu et al
hCoV-19/Heilongjiang/IVDC-HEB-515/2021	EPI_ISL_10925423		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Hua Hua et al
hCoV-19/Heilongjiang/IVDC-HEB-509/2021	EPI_ISL_10925417		Heilongjiang Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Wei Sun et al
hCoV-19/Indonesia/JK-NIHRD-WGS12487/2021	EPI_ISL_6826756		GSI Laboratorium	National Institute of Health Research and Development	Kartika Dewi Puspa et al
hCoV-19/Fujian/2021BD-VIR-SPE-0583/2021	EPI_ISL_15756980		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Indonesia/RI-NIHRD-WGS.22.03313/2022	EPI_ISL_10957499		RSUD Arifin Achmad (RS)	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Malaysia/UNIMAS-GHML573/2021	EPI_ISL_5895930		Sarawak General Hospital (Kuching)	Institute of Health and Community Medicine	Chan Chia Jui et al
hCoV-19/Indonesia/JB-GS-WJHL-ITB-W040/2021	EPI_ISL_4885291		Tasikmalaya Public Health	West Java Health Laboratory	Azzania Fibriani et al
hCoV-19/Indonesia/SB-GSILab-626499/2021	EPI_ISL_3315000		Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University	Genomik Solidaritas Indonesia Laboratorium / Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University	Reinhart Gabriel et al
hCoV-19/Indonesia/KI-EIJK-NIHRD-247/2021	EPI_ISL_3160118		Dinas Kesehatan Provinsi Kalimantan Timur	Eijkman Institute for Molecular Biology, National Research and Innovation Agency; National Institute of Health Research and Development	Willy Agustine et al
hCoV-19/Fujian/2021BD-VIR-SPE-0455/2021	EPI_ISL_15756088		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Fujian/2021BD-VIR-SPE-0454/2021	EPI_ISL_15756089		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin Qi et al
hCoV-19/Indonesia/KI-EIJK-NIHRD-229/2021	EPI_ISL_3160065		Dinas Kesehatan Provinsi Kalimantan Timur	Eijkman Institute for Molecular Biology, National Research and Innovation Agency; National Institute of Health Research and Development	Willy Agustine et al
hCoV-19/Yunnan/YN-03/2021	EPI_ISL_2723564		Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Department of Acute Infectious Diseases Control and Prevention, Yunnan Provincial Center for Disease Control and Prevention	Meiling Zhang et al
hCoV-19/Indonesia/JA-GS-EIJK-RSRM-0124/2021	EPI_ISL_5395727		Raden Mattaher Regional General Hospital (RSUD)	Eijkman Research Center for Molecular Biology, National Research and Innovation Agency; Raden Mattaher Regional General Hospital (RSUD)	Jessica R Saragih et al
hCoV-19/Indonesia/RI-GS-GSILab-843381/2021	EPI_ISL_8315365		Laboratorium Biomolekuler RSUD Arifin Achmad / SELAT PANJANG	Genomik Solidaritas Indonesia Laboratorium	Dian Pitaloka Rajagukguk et al
hCoV-19/Indonesia/JK-NIHRD-MI.21.14298/2021	EPI_ISL_8402797		RSDC Wisma Atlet Kemayoran	National Institute of Health Research and Development	Triyani Soekarso et al
hCoV-19/Indonesia/BB-EIJK-MRINUPH-0152/2021	EPI_ISL_9437183		Siloam Hospital Bangka Belitung (SHBB)	Eijkman Research Center for Molecular Biology, National Research and Innovation Agency; Mochtar Riady Institute for Nanotechnology-Universitas Pelita Harapan	Iskandar Adnan et al
hCoV-19/Indonesia/JK-NIHRD-MI2111911/2021	EPI_ISL_4508278		WISMA ATLET	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Indonesia/KI-GS-FKUINIHRD-0154/2021	EPI_ISL_6134570		Dinkes Provinsi Kalimantan Timur (Labkesprov)	Faculty of Medicine, Universitas Indonesia	Fera Ibrahim et al
hCoV-19/Indonesia/JK-GS-NIHRD-WGS11432/2021	EPI_ISL_5022806		Laboratorium Hamera Sarana Indonesia	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Indonesia/SA-NIHRD-WGS11871/2021	EPI_ISL_5441844		BTKL PP Kelas 1 Manado	National Institute of Health Research and Development	Arie Ardiansyah Nugraha et al
hCoV-19/Indonesia/JK-GS-NIHRD-WGS11913/2021	EPI_ISL_4730565		RS Darurat Penanganan Covid-19 Wisma Atlet Kemayoran	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Indonesia/JI-GS-ITD-Cs53133N/2021	EPI_ISL_8479636		Mohammad Noer General Hospital	Institute of Tropical Disease, Universitas Airlangga	Jezzy R Dewantari et al
hCoV-19/India/JK-609123266/2021	EPI_ISL_11030555		GMC, Shrinagar	Molecular Genetics Laboratory, THSTI, Faridabad	DR.BHABATOSH DAS et al
hCoV-19/India/GJ-ICMR-NIV-INSACOG-GSEQ-6523/2021	EPI_ISL_8049942		ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar et al
hCoV-19/Pakistan/AKU-FEB-RUN-MIN-17/2021	EPI_ISL_13342836		Department of Pathology and Laboratory Medicine, AKUH Laboratories, Karachi, Pakistan	Department of Pathology and Laboratory Medicine, AKUH Laboratories, Karachi, Pakistan	F. Kirimi et al
hCoV-19/Henan/IVDC-546/2022	EPI_ISL_11873909		Henan Center for Disease Control and Prevention	National Institute for Viral Disease Control and Prevention, China CDC	Hongxia Ma et al
hCoV-19/Kyrgyzstan/Kyrg81516-080721/2021	EPI_ISL_9288137		AQUA Lab	"SRC VB ""Vector"", ""Collection of microorganisms"" Department."	Sergey A. Bodnev et al
hCoV-19/Indonesia/JK-NIHRD-WGS12269/2021	EPI_ISL_6826725		Hamera Laboratorium	National Institute of Health Research and Development	Hana Apsari Pawestri et al
hCoV-19/Malawi/MLW-00254/2021	EPI_ISL_6963173		Malawi Liverpool Wellcome Trust Clinical Research Program	Malawi Liverpool Wellcome Trust Clinical Research Program	Catherine Anscombe et al
hCoV-19/Mexico/NAY_IBT_IMSS_2280/2021	EPI_ISL_3347886	ON486327.1	Centro de Investigación Biomédica de Occidente (CIBO)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/SON_InDRE_FB49849_S9172/2021	EPI_ISL_6570938		LESP Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Colombia/VAC-CI-31641824/2021	EPI_ISL_8344806		Clinica Imbanaco	Universidad del Valle	Diana López-Alvarez et al
hCoV-19/Kenya/C99548/2021	EPI_ISL_3049435	OK487995.1	KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al
hCoV-19/Zimbabwe/CERI-KRISP-K027285/2021	EPI_ISL_6699694		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Zimbabwe/CERI-KRISP-K027282/2021	EPI_ISL_6699691		National Microbiology Reference Laboratory, Ministry of Health, Harare, Zimbabwe	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Air Comodor Dr J. Chimedza et al
hCoV-19/Zambia/ZMB-108839/2021	EPI_ISL_4513668		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zambia/ZMB-119160/2021	EPI_ISL_4513784		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/Zambia/SP252/2021	EPI_ISL_6761100		Macha Research Trust	Macha Research Trust	Katowa B et al
hCoV-19/Nigeria/NCDC-NR-GL-004008/2021	EPI_ISL_11501806		GOMBE MOLECULAR LAB	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Taiwan/CGMH-CGU-89/2021	EPI_ISL_5160578	ON005393.1	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
hCoV-19/Nigeria/CV3595/2021	EPI_ISL_7141987		Biorepository Clinical and Virology Lab, University Teaching Hospital (UCH), Ibadan	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Nigeria/CV2355/2021	EPI_ISL_7492626		Biorepository and Clinical Virology Lab, UCH	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Jiangsu/JS07/2021	EPI_ISL_4515846		Jiangsu Provincial Center for Disease Control & Prevention	Jiangsu Provincial Center for Disease Control & Prevention	Lunbiao Cui et al
hCoV-19/Chad/TCH-30/2021	EPI_ISL_9274867		Ministère de Santé Publique et de la Solidarité Nationale	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Nigeria/CV3442/2021	EPI_ISL_6002843		Irrua Specialist Teaching Hospital (ISTH)	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Nigeria/NCDC-NR1005/2021	EPI_ISL_7547649		NIZAMIYE	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/DRC/INRB-RDC-680/2021	EPI_ISL_9570940		Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
hCoV-19/Nigeria/ON204/2021	EPI_ISL_9695424		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Oluniyi et al
